080197|Angel|20|2331
070163|Mansour|14|4589
106372|Douglas|19|3106
42209|Yannira|55|55133
74565|Natália|67|17413
22872|Ricardo|15|74875
44273|Xavier|8|80116
65119|Manolo|54|3256
33602|Aida|4|67817
57720|Justo|74|73567
21033|Roque|11|44535
33144|Lúcia|63|14318
45009|Peter|72|37986
31734|Tatiana|76|51399
9529|Urbano|71|3913
5010|Ona|17|26254
26257|Jesica|38|36673
52071|Amadeo|20|40258
786|Sagrario|32|24971
44350|Dolores|6|13402
47520|Anabel|3|36152
65752|Fuensanta|3|322
23413|Gines|21|77946
24649|Celia|68|68753
1922|Coral|81|28084
35197|Michael|55|34041
26840|Samira|39|33788
